	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_3377	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Marinilabiaceae	g__	s__
OTU_3541	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__	g__	s__
OTU_10061	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_9636	k__Bacteria	p__Verrucomicrobia	c__Opitutae	o__Opitutales	f__Opitutaceae	g__Opitutus	s__
OTU_5428	k__Bacteria	p__Parcubacteria	c__	o__	f__	g__	s__
OTU_3683	k__Bacteria	p__Chloroflexi	c__JG37-AG-4	o__	f__	g__	s__
OTU_6538	k__Bacteria	p__Lentisphaerae	c__WCHB1-41	o__	f__	g__	s__
OTU_7178	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Anaerolinea	s__
OTU_12170	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Sva0485	f__	g__	s__
OTU_12641	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_3520	k__Bacteria	p__Aminicenantes	c__	o__	f__	g__	s__
OTU_9101	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Bryobacter	s__
OTU_9181	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_14207	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes vadinHA17	o__	f__	g__	s__
OTU_9155	Unassigned	p__	c__	o__	f__	g__	s__
OTU_9308	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__Phycisphaerales	f__	g__	s__
OTU_8966	k__Bacteria	p__Lentisphaerae	c__WCHB1-41	o__	f__	g__	s__
OTU_9740	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__	s__
OTU_6693	k__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Chloroflexales	f__Roseiflexaceae	g__Roseiflexus	s__
OTU_9480	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__	s__
OTU_5850	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__BSV26	g__	s__
OTU_14103	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Bryobacter	s__
OTU_9923	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__BSV26	g__	s__
OTU_9019	Unassigned	p__	c__	o__	f__	g__	s__
OTU_12657	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Acidocella	s__
OTU_8027	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Sva0081 sediment group	s__
OTU_13248	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_11346	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_5827	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__0319-6A21	g__	s__
OTU_9018	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_12234	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__	g__	s__
OTU_8979	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Patulibacteraceae	g__Patulibacter	s__
OTU_9498	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Patulibacteraceae	g__Patulibacter	s__
OTU_6324	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_3758	k__Archaea	p__Woesearchaeota (DHVEG-6)	c__	o__	f__	g__	s__
OTU_1413	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_2264	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_10997	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__
OTU_2174	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__DA101 soil group	g__	s__
OTU_2767	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__480-2	g__	s__
OTU_9078	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_11973	k__Bacteria	p__Saccharibacteria	c__	o__	f__	g__	s__
OTU_9469	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__PHOS-HE51	g__	s__
OTU_9850	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__
OTU_3601	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_9425	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_11173	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_11978	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__	s__
OTU_9523	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_3948	k__Bacteria	p__TA06	c__	o__	f__	g__	s__
OTU_13282	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_2482	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_9000	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__	s__
OTU_9218	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__BSV26	g__	s__
OTU_3578	k__Bacteria	p__Hydrogenedentes	c__	o__	f__	g__	s__
OTU_14206	k__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__Sh765B-AG-111	f__	g__	s__
OTU_10542	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Methylophilales	f__Methylophilaceae	g__Methylotenera	s__
OTU_9340	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__0319-6M6	g__	s__
OTU_11154	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Chitinophagaceae	g__Flavisolibacter	s__
OTU_3480	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Candidatus Nostocoida	s__
OTU_1308	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes vadinHA17	o__	f__	g__	s__
OTU_3529	k__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__vadinBA26	f__	g__	s__
OTU_13380	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__SJA-149	g__	s__
OTU_9006	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_9008	k__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__vadinBA26	f__	g__	s__
OTU_2137	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 2	f__	g__	s__
OTU_9578	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Acidobacteriales	f__Acidobacteriaceae (Subgroup 1)	g__	s__
OTU_10357	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_8608	k__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__FW22	f__	g__	s__
OTU_10524	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Bryobacter	s__
OTU_9220	k__Bacteria	p__Bacteroidetes	c__SB-5	o__	f__	g__	s__
OTU_8957	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__	g__	s__
OTU_11844	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__	g__	s__
OTU_2955	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_9015	k__Bacteria	p__WCHB1-60	c__	o__	f__	g__	s__
OTU_9017	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU_12347	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidia Incertae Sedis	f__Draconibacteriaceae	g__	s__
OTU_8676	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__DA101 soil group	g__	s__
OTU_9022	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__	s__
OTU_12967	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_9638	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 13	f__	g__	s__
OTU_12246	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Leptolinea	s__
OTU_1591	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__CPla-3 termite group	f__	g__	s__
OTU_5861	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Haliangiaceae	g__Haliangium	s__
OTU_13210	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Pir4 lineage	s__
OTU_5527	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 2	f__	g__	s__
OTU_8543	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU_9698	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_3966	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 2	f__	g__	s__
OTU_9391	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__Phycisphaerales	f__AKAU3564 sediment group	g__	s__
OTU_9319	k__Bacteria	p__Cloacimonetes	c__PBS-18	o__	f__	g__	s__
OTU_3238	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Bellilinea	s__
OTU_5260	k__Bacteria	p__Planctomycetes	c__BD7-11	o__	f__	g__	s__
OTU_3698	k__Bacteria	p__Actinobacteria	c__OPB41	o__	f__	g__	s__
OTU_10606	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_9553	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_3960	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_557	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__Ktedonobacterales	f__HSB OF53-F07	g__	s__
OTU_2111	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU_13801	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__WCHB1-69	g__	s__
OTU_9629	k__Bacteria	p__Armatimonadetes	c__Chthonomonadetes	o__Chthonomonadales	f__	g__	s__
OTU_2723	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Bryobacter	s__
OTU_10355	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__FukuN18 freshwater group	g__	s__
OTU_2031	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Fastidiosipila	s__
OTU_10098	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Bryobacter	s__
OTU_9061	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_14199	k__Bacteria	p__Parcubacteria	c__	o__	f__	g__	s__
OTU_9353	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_5481	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__	s__
OTU_9067	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Saprospiraceae	g__Lewinella	s__
OTU_9068	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_11787	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_4827	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_9195	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__
OTU_9076	k__Bacteria	p__Latescibacteria	c__	o__	f__	g__	s__
OTU_7079	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Haliangiaceae	g__Haliangium	s__
OTU_10376	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__DA111	g__	s__
OTU_3463	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes BD2-2	o__	f__	g__	s__
OTU_9221	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_2848	k__Bacteria	p__Chloroflexi	c__SHA-26	o__	f__	g__	s__
OTU_6300	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 17	f__	g__	s__
OTU_9758	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__DA111	g__	s__
OTU_9934	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_8681	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Sh765B-TzT-35	g__	s__
OTU_10867	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__C0119	f__	g__	s__
OTU_6088	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_10906	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_6021	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Pelolinea	s__
OTU_10745	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__DA101 soil group	g__	s__
OTU_13547	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 4	f__RB41	g__	s__
OTU_12442	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halovenus	s__
OTU_10655	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_9522	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_9114	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_6061	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__
OTU_1777	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__	g__	s__
OTU_12509	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Saprospiraceae	g__Phaeodactylibacter	s__
OTU_4155	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__	g__	s__
OTU_9212	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_3101	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__	s__
OTU_9119	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Subgroup 7	f__	g__	s__
OTU_9320	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_12249	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Lineage IIa	f__	g__	s__
OTU_10368	k__Bacteria	p__Latescibacteria	c__	o__	f__	g__	s__
OTU_12630	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Saprospiraceae	g__Phaeodactylibacter	s__
OTU_10869	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_8622	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__HOC36	f__	g__	s__
OTU_6233	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__
OTU_10608	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__WCHB1-69	g__	s__
OTU_7087	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Lineage IIa	f__	g__	s__
OTU_12122	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Pirellula	s__
OTU_5591	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__0319-6M6	g__	s__
OTU_7862	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__BSV26	g__	s__
OTU_5601	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Blvii28 wastewater-sludge group	s__
OTU_13369	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_5207	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__KD1-131	g__	s__
OTU_12138	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Chitinophagaceae	g__	s__
OTU_11358	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__	f__	g__	s__
OTU_9157	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__	s__
OTU_11727	k__Bacteria	p__Chloroflexi	c__Ardenticatenia	o__	f__	g__	s__
OTU_11397	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiales Incertae Sedis	g__Bauldia	s__
OTU_1773	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Alcanivoracaceae	g__Alcanivorax	s__
OTU_8461	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Order II	f__Rhodothermaceae	g__	s__
OTU_851	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__	s__
OTU_10696	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_1802	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cyclobacteriaceae	g__Aquiflexum	s__
OTU_10549	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_12349	k__Bacteria	p__Planctomycetes	c__OM190	o__	f__	g__	s__
OTU_8971	Unassigned	p__	c__	o__	f__	g__	s__
OTU_10200	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Ornatilinea	s__
OTU_11427	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__TRA3-20	f__	g__	s__
OTU_8352	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_5001	k__Bacteria	p__Spirochaetae	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	g__	s__
OTU_1218	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__
OTU_14229	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_9185	Unassigned	p__	c__	o__	f__	g__	s__
OTU_12796	k__Bacteria	p__Chloroflexi	c__S085	o__	f__	g__	s__
OTU_10966	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__	g__	s__
OTU_11019	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 15	f__	g__	s__
OTU_10519	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Bryobacter	s__
OTU_595	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Anaerolinea	s__
OTU_5726	k__Bacteria	p__Chloroflexi	c__S085	o__	f__	g__	s__
OTU_3647	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_9199	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_6149	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__	s__
OTU_6428	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Spongiibacteraceae	g__BD1-7 clade	s__
OTU_11202	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiales Incertae Sedis	g__Bauldia	s__
OTU_9368	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Bryobacter	s__
OTU_4806	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_2759	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_12111	k__Bacteria	p__Bacteroidetes	c__	o__	f__	g__	s__
OTU_10668	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_10511	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__LD29	g__	s__
OTU_4138	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
OTU_10400	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__SC-I-84	f__	g__	s__
OTU_2289	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Marinilactibacillus	s__
OTU_12213	Unassigned	p__	c__	o__	f__	g__	s__
OTU_8648	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_10881	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Candidatus Solibacter	s__
OTU_10849	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__	g__	s__
OTU_2788	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Acidobacteriales	f__Acidobacteriaceae (Subgroup 1)	g__	s__
OTU_8941	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_3440	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_9232	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_10623	k__Bacteria	p__Chlorobi	c__Chlorobia	o__Chlorobiales	f__SJA-28	g__	s__
OTU_9362	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobia Incertae Sedis	o__	f__	g__Candidatus Methylacidiphilum	s__
OTU_5529	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__	g__	s__
OTU_10277	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_5869	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__43F-1404R	f__	g__	s__
OTU_2012	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 2	f__	g__	s__
OTU_10335	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_4751	k__Bacteria	p__Caldiserica	c__Caldisericia	o__Caldisericales	f__Caldisericaceae	g__Caldisericum	s__
OTU_11299	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__	s__
OTU_4237	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_3167	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__BSV26	g__	s__
OTU_4436	k__Archaea	p__Thaumarchaeota	c__Soil Crenarchaeotic Group(SCG)	o__	f__	g__Candidatus Nitrososphaera	s__
OTU_1617	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_2801	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
OTU_8677	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__CPla-3 termite group	f__	g__	s__
OTU_12312	k__Bacteria	p__Latescibacteria	c__	o__	f__	g__	s__
OTU_10344	k__Archaea	p__Thaumarchaeota	c__terrestrial group	o__	f__	g__	s__
OTU_9248	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_13584	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__AT425-EubC11 terrestrial group	f__	g__	s__
OTU_10642	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_9260	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidia Incertae Sedis	f__Draconibacteriaceae	g__	s__
OTU_10105	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_14030	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__KD1-131	g__	s__
OTU_9268	k__Bacteria	p__Saccharibacteria	c__	o__	f__	g__	s__
OTU_7868	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_5315	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Planctomyces	s__
OTU_14262	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Solimonadaceae	g__Polycyclovorans	s__
OTU_13889	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__Syntrophobacter	s__
OTU_4357	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfonatronobacter	s__
OTU_9297	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_3319	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__BD2-11 terrestrial group	f__	g__	s__
OTU_10506	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__
OTU_5832	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Candidatus Nostocoida	s__
OTU_12162	k__Bacteria	p__Lentisphaerae	c__Oligosphaeria	o__Oligosphaerales	f__	g__	s__
OTU_11017	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__
OTU_12247	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 2	f__	g__	s__
OTU_8905	Unassigned	p__	c__	o__	f__	g__	s__
